feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
Tmtc2	14	13.0613747954173	12.8341578132335	50519441.5	0.921836581164466	0	0	87.3158756137479	11.5526122148639
Mmp25	14	5.29950900163666	5.14603162299372	50222253.5	0.916413742713588	0	0	86.7430441898527	9.53463999821616
Serpinb6b	14	11.278232405892	10.9288667850032	50196408.5	0.915942144736001	0	0	88.5433715220949	14.4290587999197
Lactb	14	7.03109656301146	6.4259947724792	49908662.4204102	0.910691594564092	0	0	92.7168576104746	34.4192476642808
Strip2	14	4.43944353518822	4.40963106166713	49795764	0.90863151846666	0	0	82.4877250409165	1.55640288090619
Marcksl1	14	7.8240589198036	7.12590742695012	49767073.5	0.908107998181269	0	0	91.3256955810147	22.7016299863982
Serpinb9	14	7.54418985270049	7.10663550123885	49605599.3886719	0.905161553440123	0	0	89.607201309329	22.3894574887952
Ms4a6c	15	20.311544991511	14.6570708207418	45465411.0605469	0.859758645352337	0	0	99.0662139219015	57.8245082533247
Fxyd5	15	19.2869269949066	12.3518620598417	44878067.0219727	0.84865186982384	0	0	99.830220713073	79.6551647323517
Tgfbi	15	14.9940577249576	11.2384496966223	44627516.5	0.843913916897897	0	0	93.8879456706282	36.2077031030719
Ms4a4c	15	12.5195246179966	8.85322179560459	44339445.557373	0.838466446444622	0	0	96.6893039049236	49.2013989441091
Ms4a6b	15	13.0237691001698	8.97556344647528	44263550.1442871	0.837031251292503	0	0	98.1324278438031	68.5994965583302
Ifitm3	15	48.9074702886248	32.7753502645665	44146840.2915039	0.834824248153467	0	0	99.2359932088285	72.2550177095632
Skap1	15	18.2079796264856	12.4641556974129	44045405	0.832906089562573	0	0	97.9626485568761	38.3595820988617
Ubb	15	44.062818336163	24.4574854186517	43890494.9570312	0.829976714338913	0	0	99.9151103565365	96.2108217682832
Tpt1	15	151.95415959253	83.5311572089785	43855585	0.829316561122075	0	0	100	98.9864338063309
Sem1	15	15.7826825127334	9.27721371052365	43742681.4804688	0.827181536391331	0	0	99.320882852292	87.8683923280836
Tmsb10	15	79.5653650254669	47.7742933184432	43673293.5	0.825869397895275	0	0	99.9151103565365	92.3481321423002
Fau	15	108.861629881154	56.7261907062642	43653077	0.825487100446548	0	0	100	98.4362121583391
Lyz2	15	161.522920203735	110.103415180457	43650694.0795898	0.825442039016859	0	0	98.0475382003396	74.6541623042481
Plbd1	15	6.68590831918506	4.52817068803405	43621767	0.824895023028616	0	0	92.1901528013582	32.6346038181373
Vim	15	24.169779286927	15.6586300587966	43582050.7998047	0.824143982937215	0	0	99.4057724957555	65.9218997126373
AW112010	15	48.4261460101868	31.8783524658237	43571001.8417969	0.823935045264647	0	0	99.830220713073	83.426522020004
Shisa5	15	13.471986417657	8.06916625325884	43549957.189209	0.823537087309823	0	0	99.2359932088285	83.2148983092379
Prdx5	15	26.4405772495756	17.1041623779977	43486945.7880859	0.822345531012242	0	0	99.320882852292	81.7446704239157
Lgals3	15	24.5993208828523	15.1514805585111	43356452.5	0.819877880770547	0	0	98.471986417657	54.5343164554142
Ptpn18	15	13.1315789473684	7.74081019639384	43327991.7758789	0.819339683643427	0	0	99.0662139219015	86.6387471876323
Ly6d	16	33.2207637231504	32.6370932316733	35744971	0.943050046620929	0	0	90.9307875894988	4.48807233976697
Bcl11a	16	13.2458233890215	12.8151453142498	35477800	0.936001345308351	0	0	91.2887828162291	11.7817426101568
Ighm	16	13.3424821002387	8.93439914828094	34267455.4326172	0.90406914705037	0	0	97.4940334128878	55.181181048396
Iglc3	16	8.23747016706444	7.98450206996289	33893768	0.89421025107445	0	0	81.2649164677804	3.43348588357542
Rnase6	16	16.2577565632458	15.2070170262026	33765220.3012695	0.89081881138687	0	0	87.8281622911694	36.229577059981
Aff3	16	8.40095465393795	6.81096106546986	33457219.5	0.882692908305385	0	0	94.6300715990454	26.9527536424134
Mctp2	16	15.5453460620525	14.8280061845349	33298776.5	0.878512748849198	0	0	83.6515513126492	23.132364970927
Dnajc7	16	13.0751789976134	10.8399642112942	33251041.7744141	0.87725337630168	0	0	92.9594272076372	71.5416417943446
Cyb561a3	16	7.36873508353222	6.64944963770966	33238104.1713867	0.87691204696788	0	0	87.1121718377088	37.259843912361
Fcrla	16	3.68496420047733	3.58456845419712	33230916.5	0.876722416548643	0	0	78.1622911694511	4.60745948575092
Abhd17b	16	7.40811455847255	6.408667276741	33185533.1914062	0.875525080809159	0	0	90.9307875894988	46.2381994649687
Tcf4	16	38.4236276849642	34.6321130158214	33083622.1508789	0.872836388978341	0	0	93.0787589498807	63.6178726979284
Kmo	16	4.30190930787589	4.03070150791569	33016348	0.871061512979065	0	0	79.8329355608592	9.13974928699343
Gm21762	16	7.82816229116945	7.80439540562635	32922251.5	0.86857899008901	0	0	73.9856801909308	0.417855010943822
